Iteration	Cost
347	10.638753935
348	10.6374431676
349	10.6361333996
350	10.6348245963
351	10.6335168155
352	10.632209943
353	10.6309041134
354	10.6295993771
355	10.6282954675
356	10.6269926853
357	10.6256907791
358	10.6243899464
359	10.6230900284
360	10.6217910305
361	10.6204930618
362	10.6191959501
363	10.6178997284
364	10.6166046184
365	10.6153105184
366	10.614017273
367	10.6127250609
368	10.6114338059
369	10.6101434709
370	10.6088541818
371	10.6075657065
372	10.6062782598
373	10.6049917805
374	10.6037062572
375	10.6024217585
376	10.6011380985
377	10.5998553079
378	10.5985736186
379	10.5972929737
380	10.5960131824
381	10.5947343365
382	10.5934563765
383	10.5921794465
384	10.5909033252
385	10.5896282003
386	10.5883540028
387	10.5870806896
388	10.5858083864
389	10.5845370528
390	10.5832666907
391	10.5819972959
392	10.5807288042
393	10.5794613576
394	10.57819461
395	10.5769289867
396	10.5756641366
397	10.5744002945
398	10.5731372987
399	10.5718752345
400	10.5706142513
401	10.5693541533
402	10.5680950234
403	10.5668366596
404	10.5655793872
405	10.5643229722
406	10.5630675264
407	10.5618129833
408	10.5605592319
409	10.5593066041
410	10.5580547728
411	10.5568038712
412	10.555553954
413	10.554304901
414	10.5530568999
415	10.5518097849
416	10.5505633509
417	10.5493178909
418	10.5480733675
419	10.5468298116
420	10.5455872018
421	10.5443453815
422	10.5431046813
423	10.5418647489
424	10.5406256793
425	10.5393875602
426	10.5381503687
427	10.5369140174
428	10.5356784428
429	10.5344439318
430	10.5332102647
431	10.5319775704
432	10.5307457254
433	10.529514786
434	10.5282846991
435	10.5270556114
436	10.5258274221
437	10.5246000826
438	10.5233737151
439	10.5221482399
440	10.5209235735
441	10.5196998052
442	10.5184769009
443	10.5172550192
444	10.5160338764
445	10.5148136888
446	10.513594374
447	10.5123760163
448	10.5111584609
449	10.5099418092
450	10.5087260124
451	10.5075111904
452	10.5062972186
453	10.5050841303
454	10.5038718973
455	10.5026605415
456	10.5014501036
457	10.5002405768
458	10.4990318266
459	10.4978239751
460	10.4966169931
461	10.4954108642
462	10.4942056506
463	10.4930013376
464	10.4917978099
465	10.4905952241
466	10.4893933719
467	10.4881924315
468	10.486992399
469	10.4857932398
470	10.4845949626
471	10.4833974701
472	10.4822008947
473	10.4810052097
474	10.4798103428
475	10.4786164926
476	10.4774233605
477	10.4762310745
478	10.475039678
479	10.4738491215
480	10.472659342
481	10.4714704812
482	10.4702824679
483	10.4690952973
484	10.467909063
485	10.4667236534
486	10.4655391524
487	10.464355468
488	10.4631725205
489	10.4619905028
490	10.4608093419
491	10.4596290886
492	10.4584497473
493	10.4572711342
494	10.4560933133
495	10.4549163503
496	10.4537402817
497	10.4525651536
498	10.4513905317
499	10.4502171066
500	10.4490443413
501	10.4478724802
502	10.4467013915
503	10.4455312092
504	10.4443617439
505	10.4431931821
506	10.442025438
507	10.4408585111
508	10.4396925574
509	10.4385272455
510	10.4373628041
511	10.4361992115
512	10.4350364116
513	10.4338745223
514	10.4327135215
515	10.4315532607
516	10.4303937507
517	10.4292351711
518	10.4280773155
519	10.4269203041
520	10.4257641037
521	10.4246087758
522	10.4234542886
523	10.4223005766
524	10.4211476556
525	10.4199956528
526	10.4188444744
527	10.4176940438
528	10.4165443991
529	10.4153956108
530	10.4142476097
531	10.4131004721
532	10.4119541894
533	10.410808578
534	10.4096638442
535	10.4085199627
536	10.4073768304
537	10.4062344601
538	10.4050929582
539	10.4039523257
540	10.4028124688
541	10.4016734241
542	10.4005351104
543	10.3993976605
544	10.3982609438
